DOI,venue,year,title,subtitle,abstract,authors,keywords,page_from,page_to
10.1145/2702123.2702511,CHI,2015,Collaborative Accessibility,How Blind and Sighted Companions Co-Create Accessible Home Spaces,"In recent decades, great technological strides have been made toward enabling people who are blind to live independent, successful lives. However, there has been relatively little progress towards understanding the social, collaborative needs of this population, particularly in the domestic setting. We conducted semi-structured interviews in the homes of 10 pairs of close companions in which one partner was blind and one was not. We found that partners engaged in collaborative accessibility by taking active roles in co-creating an accessible environment. Due to their different visual abilities, however, partners sometimes encountered difficulties managing divergent needs and engaging in shared experiences. We describe outstanding challenges to creating accessible shared home spaces and outline new research and technology opportunities for supporting collaborative accessibility in the home.","Stacy Branham, Shaun Kane","accessibility, blindness, collaboration, home, interpersonal relationships, vision impairment",2373,2382
10.1145/3025453.3025899,CHI,2017,People with Visual Impairment Training Personal Object Recognizers,Feasibility and Challenges,"Blind people often need to identify objects around them, from packages of food to items of clothing. Automatic object recognition continues to provide limited assistance in such tasks because models tend to be trained on images taken by sighted people with different background clutter, scale, viewpoints, occlusion, and image quality than in photos taken by blind users. We explore personal object recognizers, where visually impaired people train a mobile application with a few snapshots of objects of interest and provide custom labels. We adopt transfer learning with a deep learning system for user-defined multi-label k-instance classification. Experiments with blind participants demonstrate the feasibility of our approach, which reaches accuracies over 90% for some participants. We analyze user data and feedback to explore effects of sample size, photo-quality variance, and object shape; and contrast models trained on photos by blind participants to those by sighted participants and generic recognizers.","Hernisa Kacorri, Kris Kitani, Jeffrey Bigham, Chieko Asakawa","accessibility, blind, computer vision, object recognition, photographs",5839,5849
10.1145/3173574.3173972,CHI,2018,Pocket Skills,A Conversational Mobile Web App To Support Dialectical Behavioral Therapy,"Mental health disorders are a leading cause of disability worldwide. Although evidence-based psychotherapy is effective, engagement from such programs can be low. Mobile apps have the potential to help engage and support people in their therapy. We developed Pocket Skills, a mobile web app based on Dialectical Behavior Therapy (DBT). Pocket Skills teaches DBT via a conversational agent modeled on Marsha Linehan, who developed DBT. We examined the feasibility of Pocket Skills in a 4-week field study with 73 individuals enrolled in psychotherapy. After the study, participants reported decreased depression and anxiety and increased DBT skills use. We present a model based on qualitative findings of how Pocket Skills supported DBT. Pocket Skills helped participants engage in their DBT and practice and implement skills in their environmental context, which enabled them to see the results of using their DBT skills and increase their self-efficacy. We discuss the design implications of these findings for future mobile mental health systems.","Jessica Schroeder, Chelsey Wilkes, Kael Rowan, Arturo Toledo, Ann Paradiso, Mary Czerwinski, Gloria Mark, Marsha Linehan","behavioral therapy, dbt, health informatics, mental health",1,15
10.1145/2702123.2702144,CHI,2015,Toward 3D-Printed Movable Tactile Pictures for Children with Visual Impairments, ,"Many children's books contain movable pictures with elements that can be physically opened, closed, pushed, pulled, spun, flipped, or swung. But these tangible, interactive reading experiences are inaccessible to children with visual impairments. This paper presents a set of 3D-printable models designed as building blocks for creating movable tactile pictures that can be touched, moved, and understood by children with visual impairments. Examples of these models are canvases, connectors, hinges, spinners, sliders, lifts, walls, and cutouts. They can be used to compose movable tactile pictures to convey a range of spatial concepts, such as in/out, up/down, and high/low. The design and development of these models were informed by three formative studies including 1) a survey on popular moving mechanisms in children's books and 3D-printed parts to implement them, 2) two workshops on the process creating movable tactile pictures by hand (e.g., Lego, Play-Doh), and 3) creation of wood-based prototypes and an informal testing on sighted preschoolers. Also, we propose a design language based on XML and CSS for specifying the content and structure of a movable tactile picture. Given a specification, our system can generate a 3D-printable model. We evaluate our approach by 1) transcribing six children's books, and 2) conducting six interviews on domain experts including four teachers for the visually impaired, one blind adult, two publishers at the National Braille Press, a renowned tactile artist, and a librarian.","Jeeeun Kim, Tom Yeh","3d modeling, 3d printing, movables, tactile pictures",2815,2824
10.1145/1753326.1753715,CHI,2010,Individual models of color differentiation to improve interpretability of information visualization, ,"Color is commonly used to represent categories and values in many computer applications, but differentiating these colors can be difficult in many situations (e.g., for users with color vision deficiency (CVD), or in bright light). Current solutions to this problem can adapt colors based on standard simulations of CVD, but these models cover only a fraction of the ways in which color perception can vary. To improve the specificity and accuracy of these approaches, we have developed the first ever individualized model of color differentiation (ICD). The model is based on a short calibration performed by a particular user for a particular display, and so automatically covers all aspects of the user's ability to see and differentiate colors in an environment. In this paper we introduce the new model and the manner in which differentiability limits are predicted. We gathered empirical data from 16 users to assess the model's accuracy and robustness. We found that the model is highly effective at capturing individual differentiation abilities, works for users with and without CVD, can be tuned to balance accuracy and color availability, and can serve as the basis for improved color adaptation schemes.","David Flatla, Carl Gutwin","assistive technology, color blindness, color differentiation, color vision deficiency, visualization",2563,2572
10.1145/3025453.3025493,CHI,2017,"Understanding the Role Fluidity of Stakeholders During Assistive Technology Research ""In the Wild""", ,"Deploying novel technologies requires the coordinated efforts of the research team, research participants, and a variety of community members and project stakeholders. To ensure that the project is completed successfully, these disparate groups of people engage in articulation work, which is the meta-work that supports the use of collaborative systems. In this paper, we examine the articulation work surrounding the deployment of systems that have found limited long-term adoption: assistive technology. Specifically, we examine three research deployments of a collaborative game for children with autism. Analysis of the articulation work performed during these studies demonstrates how research deployments of technologies create conditions in which stakeholders must take on additional roles to make the deployment work. By understanding the articulation work surrounding deployment studies engendered in this role fluidity, we can improve both research design and the analysis of data emergent from these studies.","LouAnne Boyd, Kyle Rector, Halley Profita, Abigale Stangl, Annuska Zolyomi, Shaun Kane, Gillian Hayes","articulation work, assistive technology, autism, collaboration, deployment, role fluidity",6147,6158
10.1145/2858036.2858058,CHI,2016,Tangible Reels,Construction and Exploration of Tangible Maps by Visually Impaired Users,"Maps are essential in everyday life, but inherently inaccessible to visually impaired users. They must be transcribed to non-editable tactile graphics, or rendered on very expensive shape changing displays. To tackle these issues, we developed a tangible tabletop interface that enables visually impaired users to build tangible maps on their own, using a new type of physical icon called Tangible Reels. Tangible Reels are composed of a sucker pad that ensures stability, with a retractable reel that renders digital lines tangible. In order to construct a map, audio instructions guide the user to precisely place Tangible Reels onto the table and create links between them. During subsequent exploration, the device provides the names of the points and lines that the user touches. A pre-study confirmed that Tangible Reels are stable and easy to manipulate, and that visually impaired users can understand maps that are built with them. A follow-up experiment validated that the designed system, including non-visual interactions, enables visually impaired participants to quickly build and explore maps of various complexities.","Julie Ducasse, Marc Mac&#233;, Marcos Serrano, Christophe Jouffrais","interactive graphics, non-visual tangible interfaces",2186,2197
10.1145/3025453.3025906,CHI,2017,Synthesizing Stroke Gestures Across User Populations,A Case for Users with Visual Impairments,"We introduce a new principled method grounded in the Kinematic Theory of Rapid Human Movements to automatically generate synthetic stroke gestures <i>across user populations</i> in order to support ability-based design of gesture user interfaces. Our method is especially useful when the target user population is difficult to sample adequately and, consequently, when there is not enough data to train gesture recognizers to deliver high levels of accuracy. To showcase the relevance and usefulness of our method, we collected gestures from people <i>without</i> visual impairments and successfully synthesized gestures with the articulation characteristics of people <i>with</i> visual impairments. We also show that gesture recognition accuracy improves significantly when using our synthetic gesture samples for training. Our contributions will benefit researchers and practitioners that wish to design gesture user interfaces for people with various abilities by helping them prototype, evaluate, and predict gesture recognition performance without having to expressly recruit and involve people with disabilities in long, time-consuming gesture collection experiments.","Luis Leiva, Daniel Mart&#237;n-Albo, Radu-Daniel Vatavu","bootstrapping, gesture synthesis, kinematic theory, rapid prototyping, sigma-lognormal model, touch gestures",4182,4193
10.1145/3173574.3173650,CHI,2018,"How Teens with Visual Impairments Take, Edit, and Share Photos on Social Media", ,"We contribute a qualitative investigation of how teens with visual impairments (VIP) access smartphone photography, from the time they take photos through editing and sharing them on social media. We observed that they largely want to engage with photos visually, similarly to their sighted peers, and have developed strategies around photo capture, editing, sharing, and consumption that attempt to mitigate usability limitations of current photography and social media apps. We demonstrate the need for more work examining how young people with low vision engage with smartphone photography and social media, as they are heavy users of such technologies and have challenges distinct from their totally blind counterparts. We conclude with design considerations to alleviate the usability barriers we uncovered and for making smartphone photography and social media more accessible and relevant for VIPs.","Cynthia Bennett, Jane E, Martez Mott, Edward Cutrell, Meredith Morris","accessibility, blindness, instagram, photography, snapchat, social media, visual impairment",1,12
10.1145/2702123.2702334,CHI,2015,Privacy Concerns and Behaviors of People with Visual Impairments, ,"Various technologies have been developed to help make the world more accessible to visually impaired people, and recent advances in low-cost wearable and mobile computing are likely to drive even moreadvances. However, the unique privacy and security needs of visually impaired people remain largely unaddressed. We conducted an exploratory user study with 14 visually impaired participants to understand the techniques they currently use for protecting privacy, their remaining privacy concerns,and how new technologies may be able to help. The interviews explored privacy not only in the physical world (e.g., bystanders overhearing private conversations) and the online world (e.g., determining if a URL is legitimate), but also in the interface between the two (e.g. bystanders `shoulder-surfing' data from screens). The study revealed serious concerns that are not adequately solved by current technology, and suggested new directions for improving the privacy of this significant fraction of the population.","Tousif Ahmed, Roberto Hoyle, Kay Connelly, David Crandall, Apu Kapadia","privacy, visually impaired people, wearable technology",3523,3532
10.1145/2470654.2466164,CHI,2013,Designing action-based exergames for children with cerebral palsy, ,"Children with cerebral palsy (CP) want to play fast-paced action-oriented videogames similar to those played by their peers without motor disabilities. This is particularly true of exergames, whose physically-active gameplay matches the fast pace of action games. But disabilities resulting from CP can make it difficult to play action games. Guidelines for developing games for people with motor disabilities steer away from high-paced action, including recommendations to avoid the need for time-sensitive actions and to keep game pace slow. Through a year-long participatory design process with children with CP, we have discovered that it is in fact possible to develop action-oriented exergames for children with CP at level III on the Gross Motor Function Classification Scale. We followed up the design process with an eight-week home trial, in which we found the games to be playable and enjoyable. In this paper, we discuss the design of these games, and present a set of design recommendations for how to achieve both action-orientation and playability.","Hamilton Hernandez, Zi Ye, T.C. Graham, Darcy Fehlings, Lauren Switzer","children with cerebral palsy., exergame, video game design",1261,1270
10.1145/3290605.3300313,CHI,2019,What Can Gestures Tell?,Detecting Motor Impairment in Early Parkinson's from Common Touch Gestural Interactions,"Parkinson's disease (PD) is a chronic neurological disorder causing progressive disability that severely affects patients' quality of life. Although early interventions can provide significant benefits, PD diagnosis is often delayed due to both the mildness of early signs and the high requirements imposed by traditional screening and diagnosis methods. In this paper, we explore the feasibility and accuracy of detecting motor impairment in early PD via sensing and analyzing users' common touch gestural interactions on smartphones. We investigate four types of common gestures, including flick, drag, pinch, and handwriting gestures, and propose a set of features to capture PD motor signs. Through a 102-subject (35 early PD subjects and 67 age-matched controls) study, our approach achieved an AUC of 0.95 and 0.89/0.88 sensitivity/specificity in discriminating early PD subjects from healthy controls. Our work constitutes an important step towards unobtrusive, implicit, and convenient early PD detection from routine smartphone interactions.","Feng Tian, Xiangmin Fan, Junjun Fan, Yicheng Zhu, Jing Gao, Dakuo Wang, Xiaojun Bi, Hongan Wang","parkinson's disease (pd), passive monitoring, touch gestures",1,14
10.1145/1978942.1979268,CHI,2011,Representing users in accessibility research, ,"The need to study representative users is widely accepted within the human-computer interaction (HCI) community. While exceptions exist, and alternative populations are sometimes studied, virtually any introduction to the process of designing user interfaces will discuss the importance of understanding the intended users as well as the significant impact individual differences can have on how effectively individuals can use various technologies. HCI researchers are expected to provide relevant demographics regarding study participants as well as information about experience using similar technologies. Yet, in the field of accessibility we continue to see studies that do not appropriately include representative users. Highlighting ways to remedy this multifaceted problem, we argue that expectations regarding how accessibility research is conducted and reported must be raised if this field is to have the desired impact with regard to inclusive design, the information technologies studied, and the lives of the individuals being studied.","Andrew Sears, Vicki Hanson","accessibility, accessible computing, disabilities, inclusion, older adults, representative users",2235,2238
10.1145/1753326.1753583,CHI,2010,Clutching at straws,using tangible interaction to provide non-visual access to graphs,"We present a tangible user interface (TUI) called Tangible Graph Builder, that has been designed to allow visually impaired users to access graph and chart-based data. We describe the current paper-based materials used to allow independent graph construction and browsing, before discussing how researchers have applied virtual haptic and non-speech audio techniques to provide more flexible access. We discuss why, although these technologies overcome many of the problems of non-visual graph access, they also introduce new issues and why the application of TUIs is important. An evaluation of Tangible Graph Builder with 12 participants (8 sight deprived, 4 blind) revealed key design requirements for non-visual TUIs, including phicon design and handling marker detection failure. We finish by presenting future work and improvements to our system.","David McGookin, Euan Robertson, Stephen Brewster","graphs, haptic interaction, tangible user interface, visual impairment",1715,1724
10.1145/3290605.3300659,CHI,2019,Feeling Fireworks,An Inclusive Tactile Firework Display,"This paper presents a novel design for a large-scale interactive tactile display. Fast dynamic tactile effects are created at high spatial resolution on a flexible screen, using directable nozzles that spray water jets onto the rear of the screen. The screen further has back-projected visual content and touch interaction. The technology is demonstrated in Feeling Fireworks, a tactile firework show. The goal is to make fireworks more inclusive for the Blind and Low-Vision (BLV) community. A BLV focus group provided input during the development process, and a user study with BLV users showed that Feeling Fireworks is an enjoyable and meaningful experience. A user study with sighted users showed that users could accurately label the correspondence between the designed tactile firework effects and corresponding visual fireworks. Beyond the Feeling Fireworks application, this is a novel approach for scalable tactile displays with potential for broader use.","Dorothea Reusser, Espen Knoop, Roland Siegwart, Paul Beardsley","accessibility, haptic device, large interactive screen",1,11
10.1145/3290605.3300292,CHI,2019,Project Sidewalk,A Web-based Crowdsourcing Tool for Collecting Sidewalk Accessibility Data At Scale,"We introduce Project Sidewalk, a new web-based tool that enables online crowdworkers to remotely label pedestrian-related accessibility problems by virtually walking through city streets in Google Street View. To train, engage, and sustain users, we apply basic game design principles such as interactive onboarding, mission-based tasks, and progress dashboards. In an 18-month deployment study, 797 online users contributed 205,385 labels and audited 2,941 miles of Washington DC streets. We compare behavioral and labeling quality differences between paid crowdworkers and volunteers, investigate the effects of label type, label severity, and majority vote on accuracy, and analyze common labeling errors. To complement these findings, we report on an interview study with three key stakeholder groups (N=14) soliciting reactions to our tool and methods. Our findings demonstrate the potential of virtually auditing urban accessibility and highlight tradeoffs between scalability and quality compared to traditional approaches.","Manaswi Saha, Michael Saugstad, Hanuma Teja Maddali, Aileen Zeng, Ryan Holland, Steven Bower, Aditya Dash, Sage Chen, Anthony Li, Kotaro Hara, Jon Froehlich","accessibility, crowdsourcing, gis, mobility impairments, urban informatics",1,14
10.1145/2702123.2702188,CHI,2015,"Personalized, Wearable Control of a Head-mounted Display for Users with Upper Body Motor Impairments", ,"Head-mounted displays provide relatively hands-free interaction that could improve mobile computing access for users with motor impairments. To investigate this largely unexplored area, we present two user studies. The first, smaller study evaluated the accessibility of Google Glass, a head-mounted display, with 6 participants. Findings revealed potential benefits of a head-mounted display yet demonstrated the need for alternative means of controlling Glass-3 of the 6 participants could not use it at all. We then conducted a second study with 12 participants to evaluate a potential alternative input mechanism that could allow for accessible control of a head-mounted display: switch-based wearable touchpads that can be affixed to the body or wheelchair. The study assessed input performance with three sizes of touchpad, investigated personalization patterns when participants were asked to place the touchpads on their body or wheelchair, and elicited subjective responses. All 12 participants were able to use the touchpads to control the display, and patterns of touchpad placement point to the value of personalization in providing support for each user's motor abilities.","Meethu Malu, Leah Findlater","mobile accessibility, motor impairments, wearables",221,230
10.1145/3290605.3300913,CHI,2019,PersonalTouch,Improving Touchscreen Usability by Personalizing Accessibility Settings based on Individual User's Touchscreen Interaction,"Modern touchscreen devices have recently introduced customizable touchscreen settings to improve accessibility for users with motor impairments. For example, iOS 10 introduced the following four Touch Accommodation settings: 1) Hold Duration, 2) Ignore Repeat, 3) Tap Assistance, and 4) Tap Assistance Gesture Delay. These four independent settings lead to a total of more than 1 million possible configurations, making it impractical to manually determine the optimal settings. We present PersonalTouch, which collects and analyzes touchscreen gestures performed by individual users, and recommends personalized, optimal touchscreen accessibility settings. Results from our user study show that PersonalTouch significantly improves touch input success rate for users with motor impairments (20.2%, N=12, p=.00054) and for users without motor impairments (1.28%, N=12, p=.032).","Yi-Hao Peng, Muh-Tarng Lin, Yi Chen, TzuChuan Chen, Pin Sung Ku, Paul Taele, Chin Guan Lim, Mike Chen","accessibility, motor impairment, personalization, touch-screen interaction",1,11
10.1145/3290605.3300747,CHI,2019,VIPBoard,Improving Screen-Reader Keyboard for Visually Impaired People with Character-Level Auto Correction,"Modern touchscreen keyboards are all powered by the word-level auto-correction ability to handle input errors. Unfortunately, visually impaired users are deprived of such benefit because a screen-reader keyboard offers only character-level input and provides no correction ability. In this paper, we present VIPBoard, a smart keyboard for visually impaired people, which aims at improving the underlying keyboard algorithm without altering the current input interaction. Upon each tap, VIPBoard predicts the probability of each key considering both touch location and language model, and reads the most likely key, which saves the calibration time when the touchdown point misses the target key. Meanwhile, the keyboard layout automatically scales according to users' touch point location, which enables them to select other keys easily. A user study shows that compared with the current keyboard technique, VIPBoard can reduce touch error rate by 63.0% and increase text entry speed by 12.6%.","Weinan Shi, Chun Yu, Shuyi Fan, Feng Wang, Tong Wang, Xin Yi, Xiaojun Bi, Yuanchun Shi","auto-correction, smartphone, text entry, visually impaired",1,12
10.1145/2858036.2858116,CHI,2016,"""With most of it being pictures now, I rarely use it""",Understanding Twitter's Evolving Accessibility to Blind Users,"Social media is an increasingly important part of modern life. We investigate the use of and usability of Twitter by blind users, via a combination of surveys of blind Twitter users, large-scale analysis of tweets from and Twitter profiles of blind and sighted users, and analysis of tweets containing embedded imagery. While Twitter has traditionally been thought of as the most accessible social media platform for blind users, Twitter's increasing integration of image content and users' diverse uses for images have presented emergent accessibility challenges. Our findings illuminate the importance of the ability to use social media for people who are blind, while also highlighting the many challenges such media currently present this user base, including difficulty in creating profiles, in awareness of available features and settings, in controlling revelations of one's disability status, and in dealing with the increasing pervasiveness of image-based content. We propose changes that Twitter and other social platforms should make to promote fuller access to users with visual impairments.","Meredith Morris, Annuska Zolyomi, Catherine Yao, Sina Bahram, Jeffrey Bigham, Shaun Kane","accessibility, blindness, social media, twitter",5506,5516
10.1145/223904.223918,CHI,1995,Developing dual user interfaces for integrating blind and sighted users,the HOMER UIMS,"Existing systems wliich  enable the accessibiiity of Grapliical User Interfaces to blind people follow an ""adaptation strategy"";  each system adopts its own fixed policy for reproducing visual dialogues to a non-visual form, without  knowledge about the application domain or particular dialogue characteristics. It is argued that non-visual  User Interfaces should be more than automatically generated adaptations of visual dialogues. Tools are  required to facilitate non-visual interface construction, which should allow iterative design and implementation  (not supported by adaptation methods). There is a need for ""integrated"" User Interfaces which are concurrently  accessible by both sighted and blind users in order to prevent segregation of blind people in their working  environment. The concept of Ducil User Interfaces is introduced as the most appropriate basis to address  this issue. A User Interface Management System has been developed, called HOMER, which facilitates the  development of Dual User Interfaces. HOMER supports the integration of visual and non-visual lexical  technologies. In this context, a simple toolkit has been also implemented for building non-visual User  Interfaces and has been incorporated in the HOMER system.","Anthony Savidis, Constantine Stephanidis",UIMS; Aids for the impaired; Programming environments,106,113
10.1145/223904.223919,CHI,1995,Improving GUI accessibility for people with low vision, ,"We present UnWindows VI,  a set of tools designed to assist low vision users of X Windows in effectively accomplishing two mundane  yet critical interaction tasks: selectively magÂ­nifying areas of the screen so that the contents can  be seen comfortably, and keeping track of the location of the mouse pointer. We describe our software  from both the end user's and implementor's points of view, with particular emphasis on issues related  to screen magnification techniques. We conÂ­clude with details regarding software availability and plans  for future extensions.","Richard Kline, Ephraim Glinert","workstation interfaces, assistive technology, low vision, screen magnification,  X Window System ",114,121
10.1145/238386.238406,CHI,1996,Audio enhanced 3D interfaces for visually impaired users, ," Three dimensional computer applications such as CAD  packages are often difficult to use because of inadequate depth feedback to the user. It has, however,  been shown that audio feedback can help improve a user's sense of depth perception. This paper describes  an experiment which evaluates the use of three different audio environ- ments in a 3D task undertakeh  by visually impaired users. The three audio environments map tonal, musical, and orchestral sounds to  an (x, y, z) position in a 3D environ- ment. In each environment the user's task is to locate a tar-  get in three dimensions as accurately and quickly as possible. This experiment has three important results:  that audio feedback improves performance in 3D applications for all users; that visually impaired users  can use 3D appli- cations with the accuracy of sighted users; and that visu- ally impaired users can  attain greater target accuracy than sighted users in a sound-only environment. Keywords User Interface,  Auditory Interface, Disability Access, 3D Interface ","Stephen Mereu, Rick Kazman","3D interface, auditory interface, disability access, user interface",72,78
10.1145/258549.258640,CHI,1997,Toward an HCI research and practice agenda based on human needs and social responsibility, ," We outline several  promising areas for improvements in research and practice in the field of Human Computer Interaction  (HCI). These topics show the richness and potential value of HCI work motivated by a combination of a  desire to improve practice and research, and a desire to meet human needs in a responsible manner. KEYWORDS  Future, HCI research and practice, disability access, information access, information retrieval, agents,  World Wide Web, UIMSS, architectures, information poverty, communication poverty, social issues, social  impact ","Michael Muller, Cathleen Wharton, William McIver, Lila Laux","HCI research and practice, UIMSs, World Wide Web, agents, architectures, communication poverty, disability access, future, informatin access, information poverty, information retrieval, social impact, social issues",155,161
10.1145/302979.303101,CHI,1999,Interactive 3D sound hyperstories for blind children, ,Interactive software is currently used for learning andentertainment purposes. This type of software is not very commonamong blind children because most computer games and electronictoys do not have appropriate interfaces to be accessible withoutvisual cues.This study introduces the idea of interactive hyperstoriescarried out in a 3D acoustic virtual world for blind children. Wehave conceptualized a model to design hyperstories. ThroughAudioDoom we have an application that enables testing cognitivetasks with blind children. The main research question underlyingthis work explores how audio- based entertainment and spatial soundnavigable experiences can create cognitive spatial structures inthe minds of blind children.AudioDoom presents first person experiences through explorationof interactive virtual worlds by using only 3D auralrepresentations of the space.,"Maruricio Lumbreras, Jaime S&#225;nchez","3D sound, audio interface, audio-based navigation, blind children, hyperstory, space representation, virtual acoustic environment",318,325
10.1145/302979.303105,CHI,1999,Visual profiles,a critical component of universal access,"This research focuses on characterizing visually impairedcomputer users performance on graphical user interfaces by linkingclinical assessments of low vision with visual icon identification.This was accomplished by evaluating user performance on basicidentification and selection tasks within a graphical userinterface, comparing partially sighted user performance with fullysighted user performance, and linking task performance to specificprofiles of visual impairment. Results indicate that visual acuity,contrast sensitivity, visual field and color perception weresignificant predictors of task performance. In addition, icon sizeand background color significantly influenced performance.Suggestions for future research are provided. Keywords","Julie Jacko, Max Dixon, Robert Rosa, Ingrid Scott, Charles Pappas","disabilities, low vision, universal access, visual icons",330,337
10.1145/365024.365038,CHI,2001,Improving the performance of the cyberlink mental interface with &#8220;yes / no program&#8221;, ,"We summarise the results of the first studies to investigate the Cyberlink brain body interface as an assistive technology. Three phases of studies and a contextual inquiry were performed with a range of users.  A focus group was formed from brain-injured users with locked-in syndrome who have no other method of communication or control of a computer than the Cyberlink. Versions of a Yes/No program were then created to allow communication and have achieved some success with the focus group.  The purpose of this paper is to discuss how this program has been improved and what steps need to be taken to create communication programs for persons with severe motor impairment.  As a result of our experiences, we have been able to develop a set of design guidelines for brain-body  interface operated Yes/No programs.  These are presented and justified on the basis of our experiences.  We also raise some general issues for assistive technologies of this nature.","Eamon Doherty, Gilbert Cockton, Chris Bloor, Dennis Benigno","assistive technology, cyberlink, locked in syndrome, mental interface, ody interface",69,76
10.1145/642611.642618,CHI,2003,Design and user evaluation of a joystick-operated full-screen magnifier, ,"The paper reports on two development cycles of a joystick-operated full-screen magnifier for visually impaired users. In the first cycle of evaluation, seven visually impaired computer users evaluated the system in comprehension-based sessions using text documents. After considering feedback from these evaluators, a second version of the system was produced and evaluated by a further six visually impaired users. The second evaluation was conducted using information-seeking tasks using Web pages. In both evaluations, the 'thinking aloud protocol' was used. This study makes several contributions to the field. First, it is perhaps the first published study investigating the use of a joystick as an absolute and relative pointing device to control a screen magnifier. Second, the present study revealed that for most of the visually impaired users who participated in the study the joystick had good spatial, cognitive and ergonomic attributes, even for those who had never before used a joystick.","Sri Kurniawan, Alasdair King, David Evans, Paul Blenkhorn","joystick, screen magnifier, visually impaired users",25,32
10.1145/642611.642619,CHI,2003,Older adults and visual impairment,what do exposure times and accuracy tell us about performance gains associated with multimodal feedback?,"This study examines the effects of multimodal feedback on the performance of older adults with different visual abilities. Older adults possessing normal vision (n=29) and those who have been diagnosed with Age-Related Macular Degeneration (n=30) performed a series of drag-and-drop tasks under varying forms of feedback. User performance was assessed with measures of feedback exposure times and accuracy. Results indicated that for some cases, non-visual (e.g. auditory or haptic) and multimodal (bi- and trimodal) feedback forms demonstrated significant performance gains over the visual feedback form, for both AMD and normally sighted users. In addition to visual acuity, effects of manual dexterity and computer experience are considered.","Julie Jacko, Ingrid Scott, Francois Sainfort, Leon Barnard, Paula Edwards, V. Emery, Thitima Kongnakorn, Kevin Moloney, Brynley Zorich","age related macular degeneration (AMD), multimodal feedback, multimodality, visual feedback, visually impaired users",33,40
10.1145/642611.642620,CHI,2003,Multiple haptic targets for motion-impaired computer users, ,"Although a number of studies have reported that force feedback gravity wells can improve performance in ""point-and-click"" tasks, there have been few studies addressing issues surrounding the use of gravity wells for multiple on-screen targets. This paper investigates the performance of users, both with and without motion-impairments, in a ""point-and-click"" task when an undesired haptic distractor is present. The importance of distractor location is studied explicitly. Results showed that gravity wells can still improve times and error rates, even on occasions when the cursor is pulled into a distractor. The greatest improvement is seen for the most impaired users. In addition to traditional measures such as time and errors, performance is studied in terms of measures of cursor movement along a path. Two cursor measures, angular distribution and temporal components, are proposed and their ability to explain performance differences is explored.","Faustina Hwang, Simeon Keates, Patrick Langdon, P. Clarkson","Wingman, cursor control, force feedback, motion-impaired",41,48
10.1145/642611.642641,CHI,2003,Can you see what i hear?,the design and evaluation of a peripheral sound display for the deaf,"We developed two visual displays for providing awareness of environmental audio to deaf individuals. Based on fieldwork with deaf and hearing participants, we focused on supporting awareness of non-speech audio sounds such as ringing phones and knocking in a work environment. Unlike past work, our designs support both monitoring and notification of sounds, support discovery of new sounds, and do not require a priori knowledge of sounds to be detected. Our Spectrograph design shows pitch and amplitude, while our Positional Ripples design shows amplitude and location of sounds. A controlled experiment involving deaf participants found neither display to be significantly distracting. However, users preferred the Positional Ripples display and found that display easier to monitor (notification sounds were detected with 90% success in a laboratory setting). The Spectrograph display also supported successful detection in most cases, and was well received when deployed in the field.","F. Ho-Ching, Jennifer Mankoff, James Landay","assistive technology, deaf, non-speech audio, peripheral and ambient and notification displays, sound visualization",161,168
10.1145/985692.985732,CHI,2004,Isolating the effects of visual impairment,exploring the effect of AMD on the utility of multimodal feedback,"This study examines the effects of multimodal feedback on the performance of older adults with an ocular disease, Age-Related Macular Degeneration (AMD), when completing a simple computer-based task. Visually healthy older users (n = 6) and older users with AMD (n = 6) performed a series of drag-and-drop tasks that incorporated a variety of different feedback modalities. The user groups were equivalent with respect to traditional visual function metrics and measured subject cofactors, aside from the presence or absence of AMD. Results indicate that users with AMD exhibited decreased performance, with respect to required feedback exposure time. Some non-visual and multimodal feedback forms show potential as solutions to enhance performance, for those with AMD as well as for visually healthy older adults.","Julie Jacko, Leon Barnard, Thitima Kongnakorn, Kevin Moloney, Paula Edwards, V. Emery, Francois Sainfort","age-related macular degeneration (AMD), multimodal feedback, multimodality, universal access, visual feedback, visual impairment, visually impaired users",311,318
10.1145/985692.985744,CHI,2004,The participatory design of a sound and image enhanced daily planner for people with aphasia, ,"Aphasia is a cognitive disorder that impairs speech and language. From interviews with aphasic individuals, their caregivers, and speech-language pathologists, the need was identified for a daily planner that allows aphasic users to independently manage their appointments. We used a participatory design approach to develop ESI Planner (the Enhanced with Sound and Images Planner) for use on a PDA and subsequently evaluated it in a lab study. This methodology was used in order to achieve both usable and adoptable technology. In addition to describing our experience in designing ESI Planner, two main contributions are provided: general guidelines for working with special populations in the development of technology, and design guidelines for accessible handheld technology.","Karyn Moffatt, Joanna McGrenere, Barbara Purves, Maria Klawe","assistive technology, cognitive disabilities, handheld devices, multi-modal interaction, participatory design, universal usability",407,414
