Index,Author,Title,Keyword,DOI,Venue,Year,CommunityOfFocus-BVI,CommunityOfFocus-DHH,CommunityOfFocus-IDD,CommunityOfFocus-MotorPhysical,CommunityOfFocus-Autism,CommunityOfFocus-Cognitive,CommunityOfFocus-OlderAdult,CommunityOfFocus-GeneralDisability,CommunityOfFocus-Other,IssueAddressed-IncreaseDigitalAccess,IssueAddressed-IncreasePhysicalAccess,IssueAddressed-IncreaseIndependence,IssueAddressed-IncreaseUnderstandingOfUsers,IssueAddressed-HelpWithPersonalInformaticsBehaviorChange,IssueAddressed-SupportCommunication,IssueAddressed-Other,ContributionType-Empirical,ContributionType-Artifact,ContributionType-Methodological,ContributionType-Theoretical,ContributionType-Dataset,ContributionType-SurveyContribution,StudyMethod-ControlledExperiment,StudyMethod-SurveyMethod,StudyMethod-UsabilityTesting,StudyMethod-Interviews,StudyMethod-CaseStudy,StudyMethod-FocusGroups,StudyMethod-FieldStudy,StudyMethod-WorkshopDesign,StudyMethod-Other,ParticipantGroup-OlderAdult,ParticipantGroup-PeopleWithDisability,ParticipantGroup-PeopleWithoutDisability,ParticipantGroup-TherapistsSpecialists,ParticipantGroup-Caregivers,ParticipantGroup-Other,ParticipantGroup-Other-Notes,ParticipantGroup-Other-Crowdworker,ParticipantGroup-NoUserStudy,StudyLocation-NearAtLab,StudyLocation-ParticipantsHomeOrFreqLoc,StudyLocation-NeutralLocation,StudyLocation-Unclear,StudyLocation-OnlineRemotely,StudyLocation-Other,StudyLocation-NoUserStudy,ParticipatoryDesign-Yes,ParticipatoryDesign-No,ComparesOnDisability-Yes,ComparesOnDisability-No,UsesProxies-Yes,UsesProxies-No,Total num Participants,NumParticipants-Group1-Count,NumParticipants-Group1-Population,NumParticipants-Group2-Count,NumParticipants-Group2-Population,NumParticipants-Group3-Count,NumParticipants-Group3-Population,NumParticipants-Group4-Count,NumParticipants-Group4-Population,NumParticipants-Group5-Count,NumParticipants-Group5-Population
115,Emeline Brulé and Gilles Bailly,Taking into Account Sensory Knowledge The Case of Geo-techologies for Children with Visual Impairments,"design, education, geography, maps, probe, sensory knowledge, visual impairments, wearable",10.1145/3173574.3173810,CHI,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,88,50,BVI,38,Caregivers,unclear,Teachers,0,0,0,0
116,"Anne Ross, Xiaoyi Zhang, James Fogarty, Jacob Wobbrock",Epidemiology as a Framework for Large-Scale Mobile Application Accessibility Assessment  ,"accessibility assessment, app accessibility, conceptual framework, epidemiology, mobile accessibility, mobile computing",10.1145/3132525.3132547,ASSETS,2017,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
117,"Marianne Dee, Vicki Hanson",A large user pool for accessibility research with representative users  ,"research participation, user studies",10.1145/2661334.2661361,ASSETS,2014,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
118,"Jaime Sánchez, Natalia de la Torre",Autonomous navigation through the city for the blind  ,"assistive technology, mobile technology, orientation and mobility, people who are blind",10.1145/1878803.1878838,ASSETS,2010,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,7,7,BVI,0,0,0,0,0,0,0,0
119,"Xiaoyi Zhang, Tracy Tran, Yuqian Sun, Ian Culhane, Shobhit Jain, James Fogarty, Jennifer Mankoff",Interactiles 3D Printed Tactile Interfaces to Enhance Mobile Touchscreen Accessibility,"3D printing, mobile accessibility, tactile interfaces, touchscreens, visual impairments",10.1145/3234695.3236349,ASSETS,2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,7,7,BVI,0,0,0,0,0,0,0,0
120,Robin N. Brewer and Vaishnav Kameswaran,"Understanding Trust, Transportation, and Accessibility through Ridesharing  ","accessibility, blind, ridesharing, transportation, trust, vision impairment",10.1145/3290605.3300425,CHI,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,16,16,BVI,0,0,0,0,0,0,0,0
121,Cynthia L. Bennett and Keting Cen and Katherine M. Steele and Daniela K. Rosner,An Intimate Laboratory? Prostheses as a Tool for Experimenting with Identity and Normalcy,"ability, assistive technology, design interventions, identity, normalcy, prostheses",10.1145/2858036.2858564,CHI,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,14,14,Motor/Physical,0,0,0,0,0,0,0,0
122,"Jian Huang, Armando Barreto, Malek Adjouadi",Evaluation of dynamic image pre-compensation forcomputer users with severe refractive error  ,"icon recognition, image enhancement, image pre-compensation, ocular aberration, refractive error",10.1145/2384916.2384947,ASSETS,2012,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,20,20,BVI,0,0,0,0,0,0,0,0
123,Sunil Rodger and John Vines and Janice McLaughlin,Technology and the Politics of Mobility Evidence Generation in Accessible Transport Activism,"accessible transport, activism, disability, evidence, participation",10.1145/2858036.2858146,CHI,2016,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,13,9,Specialists,4,Motor/Physical,0,0,0,0,0,0
124,Kiley Sobel and Alexander Fiannaca and Jon Campbell and Harish Kulkarni and Ann Paradiso and Ed Cutrell and Meredith Ringel Morris,Exploring the Design Space of AAC Awareness Displays  ,"aac, accessibility, als, awareness displays, conversational awareness, conversational flow, disability., emotion expression, nonverbal communication",10.1145/3025453.3025610,CHI,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,122,105,NonDisabled,10,Caregivers,7,Motor/Physical,0,0,0,0
125,Lei Shi and Idan Zelzer and Catherine Feng and Shiri Azenkot,Tickers and Talker An Accessible Labeling Toolkit for 3D Printed Models,"acoustic sensing, fabrication, labels, visual impairments",10.1145/2858036.2858507,CHI,2016,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,19,14,BVI,5,NonDisabled,0,0,0,0,0,0
126,Shaomei Wu and Lindsay Reynolds and Xian Li and Francisco Guzmán,Design and Evaluation of a Social Media Writing Support Tool for People with Dyslexia  ,"accessibility, artificial intelligence, dyslexia, social media",10.1145/3290605.3300746,CHI,2019,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,19,19,Cognitive,0,0,0,0,0,0,0,0
127,"Raja Kushalnagar, Gary Behm, Aaron Kelstone, Shareef Ali",Tracked Speech-To-Text Display Enhancing Accessibility and Readability of Real-Time Speech-To-Text,"accessible technology, deaf and hard of hearing users",10.1145/2700648.2809843,ASSETS,2015,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,94,29,DHH,65,NonDisabled,0,0,0,0,0,0
128,"Robin Brewer, Vaishnav Kameswaran",Understanding the Power of Control in Autonomous Vehicles for People with Vision Impairment  ,"autonomous vehicles, blind, control, low vision",10.1145/3234695.3236347,ASSETS,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,15,15,BVI,0,0,0,0,0,0,0,0
129,"José Coelho, Carlos Duarte, Pradipta Biswas, Patrick Langdon",Developing accessible TV applications  ,"accessible applications, elderly, guide, multimodal, simulation",10.1145/2049536.2049561,ASSETS,2011,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,63,63,Older Adult NonDisabled,0,0,0,0,0,0,0,0
130,"Cynthia Bennett, Erin Brady, Stacy Branham",Interdependence as a Frame for Assistive Technology Research and Design  ,"assistive technology design, interdependence",10.1145/3234695.3236348,ASSETS,2018,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
131,Anhong Guo and Jeeeun Kim and Xiang 'Anthony' Chen and Tom Yeh and Scott E. Hudson and Jennifer Mankoff and Jeffrey P. Bigham,Facade Auto-generating Tactile Interfaces to Appliances,"3d printing, accessibility, blind, computer vision, crowdsourcing, fabrication, non-visual interfaces, visually impaired",10.1145/3025453.3025845,CHI,2017,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,19,19,BVI,0,0,0,0,0,0,0,0
132,Ahtsham Manzoor and Safa Arooj and Shaban Zulfiqar and Murayyiam Parvez and Suleman Shahid and Asim Karim,ALAP Accessible LaTeX Based Mathematical Document Authoring and Presentation,"accessible latex, accessible math, assistive debugging, computers, navigation, pdf accessibility, text to speech, visually impaired",10.1145/3290605.3300734,CHI,2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,18,18,BVI,0,0,0,0,0,0,0,0
133,"Qisheng Li, Krzysztof Gajos, Katharina Reinecke",Volunteer-Based Online Studies With Older Adults and People with Disabilities  ,"elderly people, online experimentation, people with disabilities, volunteers",10.1145/3234695.3236360,ASSETS,2018,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,352363,351960,Crowdworkers,328,Cognitive,Unclear,Older Adult NonDisabled,75,Autism,0,0
134,"Matt Huenerfauth, Pengfei Lu, Andrew Rosenberg",Evaluating importance of facial expression in american sign language and pidgin signed english animations  ,"accessibility technology for people who are deaf, american sign language, facial expression, pidgin signed english",10.1145/2049536.2049556,ASSETS,2011,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,PSE & ASL  signers,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,24,24,Other-Signers,0,0,0,0,0,0,0,0
135,Rachel Bartlett and Yi Xuan Khoo and Juan Pablo Hourcade and Kyle K. Rector,Exploring the Opportunities for Technologies to Enhance Quality of Life with People who have Experienced Vision Loss  ,"accessibility, quality of life (qol), vision loss",10.1145/3290605.3300421,CHI,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,10,10,BVI,0,0,0,0,0,0,0,0
136,"Giorgio Brajnik, Yeliz Yesilada, Simon Harper",Testability and validity of WCAG 2.0 the expertise effect,"evaluation, expertise, guideline, web accessibility",10.1145/1878803.1878813,ASSETS,2010,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,50,23,Specialists,27,NonDisabled,0,0,0,0,0,0
137,"Danielle Bragg, Raja Kushalnagar, Richard Ladner",Designing an Animated Character System for American Sign Language  ,"american sign language (asl), animation, character systems, deaf, design, literacy, reading and writing, si5s",10.1145/3234695.3236338,ASSETS,2018,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,People who use ASL regardless of hearing ability,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,210,195,Other-Signers,15,DHH,0,0,0,0,0,0
138,"Lei Shi, Yuhang Zhao, Shiri Azenkot",Designing Interactions for 3D Printed Models with Blind People  ,"elicitation, exploration behaviors, interactive 3d printed models, visually impairments",10.1145/3132525.3132549,ASSETS,2017,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,12,12,BVI,0,0,0,0,0,0,0,0
139,"Shari Trewin, John Richards, Vicki Hanson, David Sloan, Bonnie John, Cal Swart, John Thomas",Understanding the role of age and fluid intelligence in information search  ,"age, cognition, eye-gaze, fluid intelligence, information search",10.1145/2384916.2384938,ASSETS,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,55,41,Older Adult NonDisabled,14,NonDisabled,0,0,0,0,0,0
140,Megan Hofmann and Jeffrey Harris and Scott E. Hudson and Jennifer Mankoff,Helping Hands Requirements for a Prototyping Methodology for Upper-limb Prosthetics Users,"3D printing, assistive technology, design, disability, open-source, personal-scale fabrication, prototyping",10.1145/2858036.2858340,CHI,2016,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,3,3,Motor/Physical,0,0,0,0,0,0,0,0
141,Anja Thieme and Cynthia L. Bennett and Cecily Morrison and Edward Cutrell and Alex S. Taylor,"<i>""I can do everything but see!"" </i> -- How People with Vision Impairments Negotiate their Abilities in Social Contexts  ","ability, accessibility, assistive technology, blindness, collaboration, ethnography, social technology, vision impairment",10.1145/3173574.3173777,CHI,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,6,6,BVI,0,0,0,0,0,0,0,0
142,"Patrick Carrington, Kevin Chang, Helena Mentis, Amy Hurst","""But, I don't take steps"" Examining the Inaccessibility of Fitness Trackers for Wheelchair Athletes","adaptive sports, fitness, wearable, wheelchair athletes",10.1145/2700648.2809845,ASSETS,2015,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,8,5,Motor/Physical,3,Therapists,0,0,0,0,0,0
143,João Guerreiro and Dragan Ahmetovic and Daisuke Sato and Kris Kitani and Chieko Asakawa,Airport Accessibility and Navigation Assistance for People with Visual Impairments  ,"airport accessibility, assistive technologies, blind navigation, orientation and mobility, visual impairment",10.1145/3290605.3300246,CHI,2019,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,24,24,BVI,0,0,0,0,0,0,0,0
144,Kathrin Maria Gerling and Regan L. Mandryk and Max Valentin Birk and Matthew Miller and Rita Orji,The effects of embodied persuasive games on player attitudes toward people using wheelchairs  ,"attitude change, disability, embodied interaction, persuasive games",10.1145/2556288.2556962,CHI,2014,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,40,40,NonDisabled,0,0,0,0,0,0,0,0
145,"Abigale Stangl, Esha Kothari, Suyog Jain, Tom Yeh, Kristen Grauman, Danna Gurari",BrowseWithMe An Online Clothes Shopping Assistant for People with Visual Impairments,"accessibility, artificial intelligence, human computer interaction",10.1145/3234695.3236337,ASSETS,2018,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,8,8,BVI,unclear,Crowdworkers,0,0,0,0,0,0
146,"Hugo Nicolau, João Guerreiro, Tiago Guerreiro, Luís Carriço",UbiBraille designing and evaluating a vibrotactile Braille-reading device,"Braille, blind, finger, reading, vibrotactile, wearable",10.1145/2513383.2513437,ASSETS,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,11,11,BVI,0,0,0,0,0,0,0,0
147,"Hamilton Hernandez, Mallory Ketcheson, Adrian Schneider, Zi Ye, Darcy Fehlings, Lauren Switzer, Virginia Wright, Shelly Bursick, Chad Richards, T.C. Nicholas Graham",Design and evaluation of a networked game to supportsocial connection of youth with cerebral palsy  ,"cerebral palsy, game accessibility, video game design",10.1145/2661334.2661370,ASSETS,2014,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,10,10,Motor/Physical,0,0,0,0,0,0,0,0
148,Radu-Daniel Vatavu and Ovidiu-Ciprian Ungurean,Stroke-Gesture Input for People with Motor Impairments Empirical Results & Research Roadmap,"dataset, gesture input, motor impairments, touchscreens",10.1145/3290605.3300445,CHI,2019,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,70,35,Motor/Physical,35,NonDisabled,0,0,0,0,0,0
149,Oussama Metatla and Alison Oldfield and Taimur Ahmed and Antonis Vafeas and Sunny Miglani,Voice User Interfaces in Schools Co-designing for Inclusion with Visually-Impaired and Sighted Pupils,"co-design, education, inclusion, visual impairment, voice user interfaces",10.1145/3290605.3300608,CHI,2019,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,43,14,Teachers,3,BVI,26,NonDisabled,0,0,0,0
150,"Kimberly Weaver, Thad Starner",We need to communicate! helping hearing parents of deaf children learn american sign language,"american sign language, computer assisted language learning, mobile devices",10.1145/2049536.2049554,ASSETS,2011,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,11,11,Caregivers,0,0,0,0,0,0,0,0
151,"Dhruv Jain, Audrey Desjardins, Leah Findlater, Jon Froehlich",Autoethnography of a Hard of Hearing Traveler  ,"accessibility, autobiographical design, autoethnography, deaf, hard of hearing, personalized technology, travel",10.1145/3308561.3353800,ASSETS,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,DHH,0,0,0,0,0,0,0,0
152,Shaomei Wu and Lada A. Adamic,Visually impaired users on an online social network  ,"facebook, social media, social networking sites, vision disability, visually impaired users",10.1145/2556288.2557415,CHI,2014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
153,Meredith Ringel Morris and Adam Fourney and Abdullah Ali and Laura Vonessen,Understanding the Needs of Searchers with Dyslexia  ,"dyslexia, learning disabilities, reading disabilities, search engine, web search",10.1145/3173574.3173609,CHI,2018,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,517,265,Cognitive,252,NonDisabled,0,0,0,0,0,0
154,Joshua Hailpern and Marina Danilevsky and Andrew Harris and Karrie Karahalios and Gary Dell and Julie Hengst,ACES promoting empathy towards aphasia through language distortion emulation software,"aphasia, assistive technology, disabilities, empathy, emulation software, language, speech",10.1145/1978942.1979029,CHI,2011,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,74,10,Specialists,64,Cognitive,0,0,0,0,0,0
155,"David Flatla, Carl Gutwin",Improving calibration time and accuracy for situation-specific models of color differentiation  ,"adaptation tools, color blindness, color differentiation, color vision deficiency (cvd), modeling",10.1145/2049536.2049572,ASSETS,2011,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,16,8,Other-CVD,8,NonDisabled,0,0,0,0,0,0
156,Kathryn E. Ringland,A Place to Play The (Dis)Abled Embodied Experience for Autistic Children in Online Spaces,"autism, communication, disability, embodied experience, inclusion, social interaction, social media, virtual worlds",10.1145/3290605.3300518,CHI,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,unclear,Autism,unclear,Caregivers,unclear,NonDisabled,0,0,0,0
157,"Darren Guinness, Annika Muehlbradt, Daniel Szafir, Shaun Kane",RoboGraphics Dynamic Tactile Graphics Powered by Mobile Robots,"accessibility, blindness, education, robots, tactile, tangible user interfaces",10.1145/3308561.3353804,ASSETS,2019,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,7,7,BVI,0,0,0,0,0,0,0,0
158,"Linda Kozma-Spytek, Paula Tucker, Christian Vogler",Audio-visual speech understanding in simulated telephony applications by individuals with hearing loss  ,"audio-video synchronization, frame rate, hard of hearing, hearing loss, lipreading, speech understanding, telecommunications accessibility",10.1145/2513383.2517032,ASSETS,2013,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,46,46,DHH,0,0,0,0,0,0,0,0
159,"Andrew Bayor, Laurianne Sitbon, Bernd Ploderer, Filip Bircanin, Stewart Koplick, Margot Brereton",Leveraging Participation Supporting Skills Development of Young Adults with Intellectual Disability Using Social Media,"competencies, intellectual disability, participation, skills development, social media, social skills, techshops",10.1145/3308561.3353793,ASSETS,2019,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,21,8,Caregivers,11,IDD,2,Specialists,0,0,0,0
160,"Yuhang Zhao, Sarit Szpiro, Shiri Azenkot",ForeSee A Customizable Head-Mounted Vision Enhancement System for People with Low Vision,"accessibility, augmented reality glasses, vision customization, visual impairment",10.1145/2700648.2809865,ASSETS,2015,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,19,19,BVI,0,0,0,0,0,0,0,0
161,Lei Shi and Holly Lawson and Zhuohao Zhang and Shiri Azenkot,Designing Interactive 3D Printed Models with Teachers of the Visually Impaired  ,"interactive 3d printed models, user-centered design",10.1145/3290605.3300427,CHI,2019,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,48,38,Teachers,10,BVI,0,0,0,0,0,0
162,Aditya Vashistha and Pooja Sethi and Richard Anderson,BSpeak An Accessible Voice-based Crowdsourcing Marketplace for Low-Income Blind People,"accessibility, crowdsourcing, hci4d, india, voice",10.1145/3173574.3173631,CHI,2018,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,39,39,BVI,0,0,0,0,0,0,0,0
163,Timothy Neate and Abi Roper and Stephanie Wilson and Jane Marshall,Empowering Expression for Users with Aphasia through Constrained Creativity  ,"accessibility, aphasia, constrained creativity, content creation, creative writing, creativity, poetry, speech impairments",10.1145/3290605.3300615,CHI,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,17,17,Cognitive,0,0,0,0,0,0,0,0
164,"Michael Crabb, Rhianne Jones, Mike Armstrong, Chris Hughes",Online News Videos The UX of Subtitle Position,"experiment methodology, laboratory experiment, subtitles, user experience",10.1145/2700648.2809866,ASSETS,2015,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,unclear,DHH,unclear,NonDisabled,0,0,0,0,0,0
165,"Lesley McIntyre, Vicki Hanson",Buildings and users with visual impairment uncovering factors for accessibility using BIT-Kit,"accessibility, architecture, buildings, methods, visual impairment, way-finding",10.1145/2661334.2661371,ASSETS,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,10,10,BVI,0,0,0,0,0,0,0,0
